Resource,Dataset,Description,Category,Attribute,Views,Archived
Achilles,Cell Line Gene Essentiality Profiles,Fitness scores for cell lines following single gene knockdowns,disease or phenotype associations,cell line,27402,FALSE
Allen Brain Atlas,Adult Human Brain Tissue Gene Expression Profiles,mRNA expression profiles for 6 adult human brain tissue samples spanning ~300 brain structures,transcriptomics,tissue,46368,FALSE
Allen Brain Atlas,Adult Mouse Brain Tissue Gene Expression Profiles,mRNA expression profiles for adult mouse brain tissues spanning ~2000 anatomically defined brain structures,transcriptomics,tissue,22736,FALSE
Allen Brain Atlas,Developing Human Brain Tissue Gene Expression Profiles by Microarray,mRNA expression profiles for human brain tissue samples spanning 27 time points and 26 brain structures,transcriptomics,tissue sample,11072,FALSE
Allen Brain Atlas,Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,mRNA expression profiles for human brain tissue samples spanning 31 time points and 26 brain structures,transcriptomics,tissue sample,9901,FALSE
Allen Brain Atlas,Prenatal Human Brain Tissue Gene Expression Profiles,mRNA expression profiles for 4 human prenatal brain tissue samples spanning 4 time points and ~300 brain structures,transcriptomics,tissue,11522,FALSE
Biocarta,Pathways,Sets of proteins participating in pathways from Biocarta,structural or functional annotations,pathway,85074,FALSE
BioGPS,Cell Line Gene Expression Profiles,mRNA expression profiles for the NCI-60 panel of cancer cell lines,transcriptomics,cell line,53275,FALSE
BioGPS,Human Cell Type and Tissue Gene Expression Profiles,mRNA expression profiles for human tissues and cell types,transcriptomics,cell type or tissue,23586,FALSE
BioGPS,Mouse Cell Type and Tissue Gene Expression Profiles,mRNA expression profiles for mouse tissues and cell types,transcriptomics,cell type or tissue,29091,FALSE
Cancer Cell Line Encyclopedia (CCLE),Cell Line Gene CNV Profiles,Gene-level copy number variation profiles for cancer cell lines,genomics,cell line,40435,FALSE
Cancer Cell Line Encyclopedia (CCLE),Cell Line Gene Expression Profiles,mRNA microarray expression profiles for cancer cell lines,transcriptomics,cell line,131737,FALSE
Cancer Cell Line Encyclopedia (CCLE),Cell Line Gene Mutation Profiles,Gene-level mutation profiles for cancer cell lines,genomics,cell line,41238,FALSE
ChIP-X Enrichment Analysis (ChEA),Transcription Factor Targets,Target genes of transcription factors from published ChIP-chip ChIP-seq and other transcription factor binding site profiling studies,genomics,transcription factor,109401,FALSE
Connectivity Map (CMAP),Signatures of Differentially Expressed Genes for Small Molecules,mRNA expression profiles for cell lines following chemical perturbation,transcriptomics,small molecule perturbation,17592,FALSE
CORUM,Protein Complexes,Proteins participating in complexes by manual literature curation,structural or functional annotations,protein complex,21336,FALSE
Catalogue of Somatic Mutations In Cancer (COSMIC),Cell Line Gene CNV Profiles,Gene-level copy number variation profiles for cancer cell lines,genomics,cell line,16497,FALSE
Catalogue of Somatic Mutations In Cancer (COSMIC),Cell Line Gene Mutation Profiles,Gene mutations in cancer cell lines from low-throughput or high-throughput studies,genomics,cell line,31096,FALSE
Comparative Toxicogenomics Database (CTD),Gene-Chemical Interactions,Chemical-gene interactions curated from literature,physical interactions,chemical,139178,FALSE
Comparative Toxicogenomics Database (CTD),Gene-Disease Associations,Disease-gene interactions from manually curated literature,disease or phenotype associations,disease,43154,FALSE
Database of Genotypes and Phenotypes (dbGAP),Gene-Trait Associations,Gene-trait associations curated from genetic association studies,disease or phenotype associations,trait,10329,FALSE
