Over Required?,sheet,field,is_required_in_validators,required_condition,has_allowed_values_check,notes
,ProjectMeta,project_name,yes,,no,
,ProjectMeta,description,yes,,no,
,ProjectMeta,date,yes,,no,
,ProjectMeta,owner_name,yes,,no,
,ProjectMeta,owner_email,yes,,no,
,ProjectMeta,keywords,yes,,no,
,ProjectMeta,collaborator_name,yes,,no,
,ProjectMeta,collaborator_email,yes,,no,
,ProjectMeta,privacy_type,yes,,yes,
,ProjectMeta,lab_groups,yes,,yes,
,ProjectMeta,project_type,yes,,yes,
,ProjectMeta,RD_tag,yes,,yes,
Flavivirus,ProjectMeta,biosample_preparation,yes,,no,
,BioSampleMap,biosample_id,yes,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,biosample_type,yes,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,biosample_tracking,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,biospecimen_id,yes,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,biospecimen_type,yes,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,biospecimen_description,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,organism_names,yes,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,organism_category,no,,no,Maps a submitter column into BioSampleMeta
"Transcriptomice_template_v2, Flavivirus, Proteomics",BioSampleMap,disease_names,yes,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,disease_category,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,age,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,race,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,ethnicity,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,sex,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,phenotype{}_category,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,demographic{}_category,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,exposure{}_names,no,,no,Indexed exposure group member
,BioSampleMap,exposure{}_type,no,,no,Indexed exposure group member
,BioSampleMap,exposure{}_category,no,,no,Indexed exposure group member
,BioSampleMap,exposure{}_concentration,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,exposure{}_unit,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,exposure{}_time,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,exposure{}_time_unit,no,,no,Maps a submitter column into BioSampleMeta
,BioSampleMap,exposure{}_start,no,,no,Maps a submitter column into BioSampleMeta
