name,short_name,status,adapter_position,adapter_total,records_written,started_at,completed_at,failed_at,elapsed_seconds,records_per_second,log10_residual,slowdown_factor_vs_trend,predicted_elapsed_minutes,predicted_elapsed_minutes,log10_residual,slowdown_factor_vs_trend
UberonAdapter (UBERON),Uberon,completed,1,52,34008,2026-05-11T21:07:06.776721+00:00,2026-05-11T21:07:34.728877+00:00,,27.952156,1216.6503363819236,-0.4153678490768009,0.38426616926133744,1.2123608684110605,1.2123608684110605,-0.4153678490768009,0.38426616926133744
GOTermAdapter (Gene Ontology (GO)),GOTerm,completed,2,52,97538,2026-05-11T21:07:34.735090+00:00,2026-05-11T21:07:53.463780+00:00,,18.72869,5207.945670519401,-1.17387749419993,0.06700735971401867,4.658366404310498,4.658366404310498,-1.17387749419993,0.06700735971401867
ProteinNodeAdapter (Pharos 4.0 CSV),ProteinNode,completed,3,52,20562,2026-05-11T21:07:53.469552+00:00,2026-05-11T21:09:08.533878+00:00,,75.064326,273.92505995457816,0.29281717239804367,1.9625339230123153,0.637477948956783,0.637477948956783,0.29281717239804367,1.9625339230123153
HCOPOrthologAdapter (HCOP),HCOPOrtholog,completed,4,52,983730,2026-05-11T21:09:08.540379+00:00,2026-05-11T22:01:19.610085+00:00,,3131.069706,314.1833598002944,-0.23298075703722532,0.5848159959246138,89.23233198759307,89.23233198759307,-0.23298075703722532,0.5848159959246138
MPPhenotypeAdapter (Mammalian Phenotype Ontology (MP)),MPPhenotype,completed,5,52,14720,2026-05-11T22:01:19.616701+00:00,2026-05-11T22:01:22.639566+00:00,,3.022865,4869.552560236729,-0.9167503391658014,0.12112942644996197,0.4159276965960499,0.4159276965960499,-0.9167503391658014,0.12112942644996197
IMPCPhenotypeAdapter (IMPC),IMPCPhenotype,completed,6,52,62912,2026-05-11T22:01:22.645611+00:00,2026-05-11T22:01:51.216234+00:00,,28.570623,2201.982084884883,-0.7471663988978066,0.17899199190766987,2.6603260007611307,2.6603260007611307,-0.7471663988978066,0.17899199190766987
HMDHumanPhenotypeAdapter (MGI),HMDHumanPhenotype,completed,7,52,85708,2026-05-11T22:01:51.222433+00:00,2026-05-11T22:07:55.474990+00:00,,364.252557,235.2982795945067,0.1867558258513573,1.5372900839838086,3.9490763735804735,3.9490763735804735,0.1867558258513573,1.5372900839838086
ProteinAdapter (UniProt),Protein,completed,8,52,253275,2026-05-11T22:07:55.481903+00:00,2026-05-11T22:22:29.577738+00:00,,874.095835,289.756557414554,-0.03426989463634089,0.9241236938211694,15.764409044018981,15.764409044018981,-0.03426989463634089,0.9241236938211694
StringPPIAdapter (STRING),StringPPI,completed,9,52,1301616,2026-05-11T22:22:29.583505+00:00,2026-05-12T01:20:03.815480+00:00,,10654.231975,122.16891870331179,0.14348858740010595,1.3915172274032521,127.6092953933713,127.6092953933713,0.14348858740010595,1.3915172274032521
BioPlexPPIAdapter (BioPlex),BioPlexPPI,completed,11,52,37711,2026-05-12T01:28:48.438519+00:00,2026-05-12T01:34:13.738157+00:00,,325.299638,115.92696577178484,0.5931546842555044,3.918814300973333,1.3834951638271638,1.3834951638271638,0.5931546842555044,3.918814300973333
ReactomePPIAdapter (Reactome),ReactomePPI,completed,12,52,22547,2026-05-12T01:34:13.744283+00:00,2026-05-12T01:37:20.992735+00:00,,187.248452,120.41221040374744,0.6386695518926295,4.351806253201092,0.7171292451353359,0.7171292451353359,0.6386695518926295,4.351806253201092
GTExExpressionAdapter (GTEx),GTExExpression,completed,13,52,1356534,2026-05-12T01:37:20.999163+00:00,2026-05-12T05:14:20.715641+00:00,,13019.716478,104.19074810824003,0.20763858656651735,1.61301567039587,134.5276915878182,134.5276915878182,0.20763858656651735,1.61301567039587
HPMExpressionAdapter (Human Protein Map),HPMExpression,completed,14,52,747715,2026-05-12T05:14:20.722384+00:00,2026-05-12T06:25:39.952591+00:00,,4279.230207,174.73119318911185,0.054900308330440684,1.1347503054838324,62.85127495038701,62.85127495038701,0.054900308330440684,1.1347503054838324
HPAProteinExpressionAdapter (Human Protein Atlas),HPAProteinExpression,completed,15,52,509735,2026-05-12T06:25:39.961021+00:00,2026-05-12T07:14:46.959048+00:00,,2946.998027,172.9675403002908,0.10548963577522952,1.2749396737707608,38.524672809079675,38.524672809079675,0.10548963577522952,1.2749396737707608
HPARnaExpressionAdapter (Human Protein Atlas),HPARnaExpression,completed,16,52,808806,2026-05-12T07:14:46.965874+00:00,2026-05-12T08:30:50.533895+00:00,,4563.568021,177.23106049436487,0.03926385761058948,1.094621206438415,69.48473734045632,69.48473734045632,0.03926385761058948,1.094621206438415
LigandNodeAdapter (IUPHAR/BPS Guide to PHARMACOLOGY),LigandNode,completed,17,52,10468,2026-05-12T08:30:50.540117+00:00,2026-05-12T08:30:57.428823+00:00,,6.888706,1519.5887297265988,-0.36989637612342285,0.4266813140102497,0.2690808406573639,0.2690808406573639,-0.36989637612342285,0.4266813140102497
ProteinLigandEdgeAdapter (IUPHAR/BPS Guide to PHARMACOLOGY),ProteinLigandEdge,completed,18,52,11814,2026-05-12T08:30:57.435288+00:00,2026-05-12T08:31:46.344791+00:00,,48.909503,241.54815067329554,0.41424489465678205,2.595642608475297,0.31404877569495765,0.31404877569495765,0.41424489465678205,2.595642608475297
DrugNodeAdapter (ChEMBL),DrugNode,completed,19,52,914017,2026-05-12T08:31:46.351259+00:00,2026-05-12T08:39:02.075094+00:00,,435.723835,2097.6979604524045,-1.0486803946330072,0.08939631257686848,81.2344906331824,81.2344906331824,-1.0486803946330072,0.08939631257686848
ProteinDrugEdgeAdapter (ChEMBL),ProteinDrugEdge,completed,20,52,1398946,2026-05-12T08:39:02.081673+00:00,2026-05-12T10:22:37.077810+00:00,,6214.996137,225.0920144055433,-0.13060338276133043,0.7402810243496519,139.9242524702014,139.9242524702014,-0.13060338276133043,0.7402810243496519
DrugNodeAdapter (DrugCentral),DrugNode,completed,21,52,4995,2026-05-12T10:22:37.086553+00:00,2026-05-12T10:22:42.798381+00:00,,5.711828,874.5011229329735,-0.04074314858056782,0.9104515747530356,0.1045603478242717,0.1045603478242717,-0.04074314858056782,0.9104515747530356
ProteinDrugEdgeAdapter (DrugCentral),ProteinDrugEdge,completed,22,52,16952,2026-05-12T10:22:42.805116+00:00,2026-05-12T10:24:27.044983+00:00,,104.239867,162.62491969603147,0.5425336123468816,3.4876557590318202,0.49813721212811246,0.49813721212811246,0.5425336123468816,3.4876557590318202
DrugCentralIndicationAdapter (DrugCentral),DrugCentralIndication,completed,23,52,43956,2026-05-12T10:24:27.051238+00:00,2026-05-12T10:27:34.794582+00:00,,187.743344,234.12814038296878,0.26941395493758863,1.859576096203572,1.6826715183753302,1.6826715183753302,0.26941395493758863,1.859576096203572
TotalPMScoreAdapter (JensenLab PubMed Score),TotalPMScore,completed,24,52,16113,2026-05-12T10:27:34.801515+00:00,2026-05-12T10:29:02.705595+00:00,,87.90408,183.3020719857372,0.4966719925688038,3.138137672997405,0.4668590586724113,0.4668590586724113,0.4966719925688038,3.138137672997405
TINXAdapter (TIN-X),TINX,completed,25,52,26244,2026-05-12T10:29:02.714297+00:00,2026-05-12T10:46:41.409934+00:00,,1058.695637,24.788994195127678,1.3067785845067392,20.266492135446182,0.8706453571445787,0.8706453571445787,1.3067785845067392,20.266492135446182
JensenLabTissuesExpressionAdapter (JensenLab TISSUES),JensenLabTissuesExpression,completed,26,52,3709195,2026-05-12T10:46:41.425272+00:00,2026-05-12T16:04:46.724916+00:00,,19085.299644,194.34827166395,-0.18436430025016515,0.6540872743326944,486.3086928644444,486.3086928644444,-0.18436430025016515,0.6540872743326944
AntibodyCountAdapter (Antibodypedia.com),AntibodyCount,completed,27,52,18516,2026-05-12T16:04:46.731694+00:00,2026-05-12T16:06:17.390979+00:00,,90.659285,204.2372162983637,0.4329480358747366,2.7098673719285253,0.5575874668205669,0.5575874668205669,0.4329480358747366,2.7098673719285253
IDGFamilyAdapter (Pharos 3.19),IDGFamily,completed,28,52,20221,2026-05-12T16:06:17.397170+00:00,2026-05-12T16:07:36.345024+00:00,,78.947854,256.13109128970115,0.3240024726419304,2.1086401553753085,0.6240028974656765,0.6240028974656765,0.3240024726419304,2.1086401553753085
