anterior cochlear nucleus, ventral	UBERON:0002830
anterior funiculus (white matter)	UBERON:0002180
anterior insular cortex, dorsal	UBERON:0034891
anterior insular cortex, ventral	UBERON:0034891
anterior thalamic nucleus, ventral	UBERON:0002637
area parastriata, inferior	UBERON:0014370
area parastriata, parietal	UBERON:0014370
area parastriata, superior	UBERON:0014370
area parastriata, temporal	UBERON:0014370
area striata	UBERON:0002436
area striata (white matter)	UBERON:0002436
basal amygdala	UBERON:0001876
central amygdala	UBERON:0001876
centromedial thalamic nucleus	UBERON:0001923
cerebellar nuclei	UBERON:0002130
cerebellar white matter	UBERON:0002317
cervix	UBERON:0000002
claustrum	UBERON:0002023
corticomedial amygdala	UBERON:0006108
cuneate nuclei	UBERON:0002045
dentate gyrus	UBERON:0001885
dorsal funiculus (white matter)	UBERON:0002258
dorsal medullary reticular nucleus	UBERON:0002559
dorsal motor vagal complex	UBERON:0002870
dorsolateral tegmental area	UBERON:0001943
dorsomedial nucleus	UBERON:0001934
dorsomedial prefrontal cortex	UBERON:0000451
entorhinal gyrus	UBERON:0002728
frontal eye field	UBERON:0000451
frontomarginal cortex	UBERON:0014544
gigantocellular reticular nuclei, medullary	UBERON:0002559
gigantocellular reticular nuclei, pars	UBERON:0002559
heart muscle	UBERON:0001133
hippocampus	UBERON:0002421
hippocampus, CA1	UBERON:0003881
hippocampus, CA2	UBERON:0003882
hippocampus, CA3	UBERON:0003883
inferior olive	UBERON:0002127
inferior parietal lobule	UBERON:0006088
intraparietal deep sulcus	UBERON:0002913
Kolliker-Fuse nucleus	UBERON:0002151
lateral amygdala	UBERON:0002886
lateral funiculus (white matter)	UBERON:0002179
lateral lemniscal nuclei	UBERON:0006840
lateral medullary reticular nucleus	UBERON:0002154
lateral thalamic nuclei	UBERON:0002736
locus coeruleus	UBERON:0002148
mamillary body	UBERON:0002206
medial dorsal thalamic nucleus	UBERON:0002739
medial olivary nucleus	UBERON:0002782
medial periolivary nuclei	UBERON:0002971
middle cingulate cortex	UBERON:0003027
motor facial nucleus	UBERON:0003011
motor hypoglossal nucleus	UBERON:0002871
motor trigeminal nucleus	UBERON:0002633
nuclei of the trapezoid body	UBERON:0007633
nucleus basalis of Meynert	UBERON:0010010
nucleus cuneatus	UBERON:0002045
nucleus gracilis	UBERON:0002161
nucleus of the diagonal band	UBERON:0001879
nucleus reuniens	UBERON:0001921
nucleus rhomboideus	UBERON:0002955
nucleus tractus solitarii	UBERON:0009050
olfactory area	UBERON:0022453
orbitofrontal gyrus, anterior	UBERON:0004167
orbitofrontal gyrus, lateral	UBERON:0004167
orbitofrontal gyrus, medial	UBERON:0004167
orbitofrontal gyrus, posterior	UBERON:0004167
parahippocampal cortex	UBERON:0002973
parahippocampal cortex (white matter)	UBERON:0002973
paraventricular nucleus	UBERON:0001930
parieto-occipital transitional area	UBERON:0002695
parieto-temporal junction (white matter)	UBERON:0023852
parvicellular reticular nuclei	UBERON:0016633
parvicellular reticular nuclei, medullary	UBERON:0016633
periaquaductal grey, anterior	UBERON:0003040
periaquaductal grey, dorsal	UBERON:0003040
periaquaductal grey, lateral	UBERON:0003040
perirhinal gyrus	UBERON:0006083
pontine nuclei	UBERON:0002151
posterior insular cortex	UBERON:0034891
posterior thalamic nucleus	UBERON:0003030
precuneus	UBERON:0006093
prepositus hypoglossal nucleus	UBERON:0002160
pretectal area	UBERON:0001944
principal sensory trigeminal nucleus	UBERON:0002597
prostate	UBERON:0002367
pulvinar	UBERON:0002981
reticular pontine nucleus, caudal	UBERON:0002963
reticular pontine nucleus, oral	UBERON:0002999
